"date","origin_country","destination_country","product","duration","units","amount"
"2010-01-01","OM","CC","Parsnips",7.41,81,972
"2010-01-01","TK","HM","Purple Grapes",89.79,16,224
"2010-01-01","TF","MT","Purple Belgian Endive",49.82,15,105
"2010-01-01","TZ","TM","Green Grapes",69.13,1,9
"2010-01-01","CM","LB","Mushrooms",53.97,56,280
"2010-01-02","MA","LY","Blood Oranges",31.07,25,175
"2010-01-02","BG","MD","Tangerines",63.7,82,492
"2010-01-03","SL","UA","Cape Gooseberries",3.09,53,424
"2010-01-03","NC","AO","Purple Cabbage",48.96,20,180
"2010-01-03","DM","CY","Pineapples",33.25,98,686
"2010-01-03","BH","BH","Beets",68.14,99,1188
"2010-01-04","PA","-","Beets",73.65,40,360
"2010-01-05","CZ","CF","Celery",24.12,93,1116
"2010-01-05","GT","KY","Tomatoes",34.94,78,780
"2010-01-05","TL","SE","Elderberries",65.07,66,462
"2010-01-06","GN","LB","Yellow Summer Squash",91.63,9,135
"2010-01-06","CH","DE","Bananas",31.74,6,30
"2010-01-06","AX","NZ","Leafy Greens",66.34,54,486
"2010-01-07","BV","YT","Avocados",67.8,44,396
"2010-01-07","AW","AU","Radicchio",64.8,64,384
"2010-01-07","TR","RE","Yellow Watermelon",90.0,64,768
"2010-01-07","GD","GS","nan",29.73,50,350
"2010-01-07","TL","AS","Green Apples",18.25,92,552
"2010-01-08","SN","SX","Dates",94.48,53,742
"2010-01-08","CV","AE","Blood Oranges",68.44,77,1078
"2010-01-08","PG","DE","Yellow Summer Squash",85.9,72,360
"2010-01-09","KG","BZ","Brussels Sprouts",47.98,78,1014
"2010-01-09","KP","IT","Onions",13.23,36,288
"2010-01-09","KH","BL","Jicama",65.7,29,232
"2010-01-10","AI","GQ","White Nectarines",54.08,13,169
"2010-01-10","SR","NG","Pomegranates",10.29,6,48
"2010-01-11","MY","PG","Blueberries",41.46,22,154
"2010-01-12","JM","AU","Green Apples",57.47,64,832
"2010-01-13","DJ","BI","Kohlrabi",29.52,23,276
"2010-01-13","MP","MP","Green Cabbage",2.21,65,650
"2010-01-14","IN","GR","Green Apples",23.68,85,1105
"2010-01-15","FK","VU","White Corn",33.64,9,81
"2010-01-15","BD","MO","Spinach",91.67,60,480
"2010-01-15","FK","NE","Green Beans",28.63,39,234
"2010-01-15","FI","ZM","Yellow Summer Squash",77.19,6,30
"2010-01-15","JE","TO","Artichokes",89.53,71,994
"2010-01-15","GY","MA","Tangerines",40.19,64,320
"2010-01-16","TW","UY","Yellow Figs",54.0,42,336
"2010-01-16","MF","BR","Black Currants",74.06,97,485
"2010-01-16","MK","JE","Black Olives",55.64,5,60
"2010-01-16","AI","CK","Yellow Beets",14.81,79,790
"2010-01-17","RW","PG","Snow Peas",90.34,8,120
"2010-01-17","SH","CI","Cauliflower",2.29,34,510
"2010-01-18","TC","NL","Red Apples",65.04,78,468
"2010-01-19","FO","AI","Black Currants",82.47,35,210
"2010-01-19","SL","GF","Raisins",35.95,55,660
"2010-01-20","KM","MD","Grapefruit",53.93,52,260
"2010-01-20","RE","MR","Raspberries",30.16,67,603
"2010-01-20","YE","DM","Jicama",83.71,84,840
"2010-01-20","NZ","PS","Peaches",80.78,64,640
"2010-01-20","PN","AQ","Garlic",62.79,22,242
"2010-01-20","SX","SR","White Corn",89.01,47,517
"2010-01-20","CR","CX","Yellow Watermelon",33.64,42,504
"2010-01-21","YT","BZ","Bananas",28.08,5,35
"2010-01-21","BD","SX","Chinese Cabbage",1.64,54,486
"2010-01-21","AL","LU","Spinach",73.26,60,780
"2010-01-21","KG","GS","Papayas",53.44,18,198
"2010-01-21","LY","nan","Cape Gooseberries",88.65,48,384
"2010-01-22","VA","TW","Green Apples",34.35,72,864
"2010-01-22","MV","GY","Sugar Snap Peas",74.52,84,1008
"2010-01-22","IM","DM","Grapefruit",16.35,85,1105
"2010-01-23","MW","ML","Yellow Figs",54.27,31,465
"2010-01-23","HM","SH","Grape Juice (100%)",20.69,31,248
"2010-01-23","PW","GL","Endive",1.72,82,410
"2010-01-23","CF","MY","Green Cabbage",54.81,38,570
"2010-01-23","GW","BG","Green Onions",21.47,20,180
"2010-01-23","PT","SL","Purple Figs",15.62,15,180
"2010-01-24","SR","UM","Peaches",33.54,86,1118
"2010-01-24","MC","GS","Green Beans",95.54,37,296
"2010-01-24","KW","AW","Honeydew",39.02,87,435
"2010-01-24","SV","MT","Lemons",24.99,49,686
"2010-01-25","GH","ZM","Limes",49.06,32,320
"2010-01-25","GI","KZ","Spinach",98.47,40,240
"2010-01-25","HU","AQ","Cape Gooseberries",3.58,52,468
"2010-01-26","SG","BW","Red Pears",41.75,82,820
"2010-01-27","DK","BH","Artichokes",69.17,29,203
"2010-01-27","BY","FO","Cucumbers",13.46,59,590
"2010-01-28","CF","TR","nan",56.45,52,780
"2010-01-28","SC","IL","Avocados",94.25,99,495
"2010-01-29","MP","ML","Red Potatoes",81.6,49,392
"2010-01-29","CU","BQ","Avocados",35.26,4,48
"2010-01-29","BR","IQ","Green Cabbage",84.43,1,13
"2010-01-30","KW","LA","White Nectarines",38.79,50,600
"2010-01-30","TG","CO","Butternut Squash",68.2,76,684
"2010-01-30","BF","TW","Brussels Sprouts",71.02,72,720
"2010-01-31","NC","PE","Potatoes (purple fleshed)",36.35,28,280
"2010-01-31","LT","SK","Purple Peppers",82.4,51,408
"2010-02-01","PA","GS","Watercress",82.62,62,744
"2010-02-01","LC","SG","Mushrooms",39.82,49,490
"2010-02-01","PE","MD","Sweet Corn",26.68,51,306
"2010-02-04","KM","FM","Red Grapes",96.32,66,792
"2010-02-04","LB","GI","Sugar Snap Peas",49.52,2,10
"2010-02-04","PT","PN","Brown Pears",66.1,80,720
"2010-02-04","AW","BI","Green Peas",11.3,36,504
"2010-02-05","PN","BG","Watercress",38.99,19,152
"2010-02-05","LT","MG","Garlic",47.39,55,770
"2010-02-06","PW","SV","Pumpkin",75.72,56,784
"2010-02-06","HM","IN","Green Cabbage",70.16,70,490
"2010-02-06","SC","AM","Peaches",14.36,8,48
"2010-02-06","-","IO","Raspberries",54.26,14,196
"2010-02-07","NR","MF","Purple Figs",39.1,91,1001
"2010-02-07","JM","NG","Yellow Watermelon",40.55,30,420
"2010-02-07","LV","CU","Watercress",8.61,36,252
"2010-02-08","TO","AW","Snow Peas",3.58,18,180
"2010-02-08","PH","AI","Arugula",25.61,14,154
"2010-02-08","PG","CC","Blackberries",39.55,5,35
"2010-02-09","VA","AL","Green Grapes",50.46,21,189
"2010-02-09","KZ","AW","Kiwifruit",64.99,67,737
"2010-02-09","NR","DM","Yellow Beets",45.58,26,312
"2010-02-10","GF","LS","Golden Kiwifruit",63.83,73,584
"2010-02-10","YT","VU","Sugar Snap Peas",66.4,78,624
"2010-02-10","KY","OM","Blackberries",88.36,10,100
"2010-02-10","DM","KR","Potatoes (purple fleshed)",28.01,48,480
"2010-02-11","TO","HT","Broccoflower",29.81,6,36
"2010-02-11","MK","SO","Yellow Winter Squash",0.47,58,870
"2010-02-12","UZ","LC","Purple Asparagus",52.43,38,190
"2010-02-12","CZ","PA","Raisins",72.47,55,715
"2010-02-13","SE","TT","Sugar Snap Peas",73.79,57,855
"2010-02-13","AU","ZW","Pumpkin",20.29,48,480
"2010-02-13","GL","SS","Bananas",55.8,24,312
"2010-02-13","UA","IM","Raspberries",87.55,18,216
"2010-02-13","MY","KN","Black Olives",23.9,12,180
"2010-02-14","IE","CG","Red Onions",38.7,58,870
"2010-02-14","VA","KP","Celery",32.15,25,250
"2010-02-14","VC","BM","Broccoflower",82.96,14,140
"2010-02-15","IE","SB","Purple Peppers",31.09,39,351
"2010-02-15","KW","GW","Oranges",10.37,18,216
"2010-02-15","NP","UM","Yellow Peppers",20.78,13,130
"2010-02-15","KY","FO","Leeks",89.57,29,377
"2010-02-16","JP","SE","Green Peas",76.07,15,180
"2010-02-17","LS","HN","Apricots",88.41,85,680
"2010-02-17","MK","CR","nan",49.35,36,504
"2010-02-17","LU","MN","Broccoli Rabe",84.35,76,912
"2010-02-17","JO","GE","Blueberries",42.14,25,125
"2010-02-18","MO","AR","Limes",8.2,78,1092
"2010-02-18","FR","TO","Purple Belgian Endive",7.44,46,368
"2010-02-18","HN","-","Kiwifruit",71.19,97,776
"2010-02-19","GP","ET","Dried Plums",63.6,32,480
"2010-02-19","RO","NZ","nan",50.22,36,288
"2010-02-19","TV","NL","Endive",93.94,72,360
"2010-02-19","BW","CK","Rutabagas",44.44,81,567
"2010-02-20","TM","CF","Purple Figs",47.04,53,583
"2010-02-20","GA","LS","Blood Oranges",79.42,54,324
"2010-02-21","BY","PY","Blackberries",64.84,16,208
"2010-02-21","nan","MS","Turnips",99.88,38,228
"2010-02-21","KR","SM","Grape Juice (100%)",80.47,97,1261
"2010-02-21","KM","TF","Green Peas",55.22,39,312
"2010-02-22","TD","SG","Avocados",16.61,97,1261
"2010-02-22","GA","VN","Green Onions",66.63,44,220
"2010-02-22","FM","BE","Cape Gooseberries",75.08,68,340
"2010-02-22","SE","TK","Concord Grapes",83.18,9,63
"2010-02-22","BT","SL","Brown Pears",26.73,61,671
"2010-02-22","DM","SL","Turnips",0.43,63,819
"2010-02-22","BM","IO","Oranges",50.97,97,776
"2010-02-22","ML","PG","Leafy Greens",62.27,16,112
"2010-02-23","KG","KW","Plums",5.35,58,754
"2010-02-23","MW","BA","Mangoes",15.06,22,286
"2010-02-23","IS","LB","Red Peppers",18.98,98,686
"2010-02-23","BI","MQ","Yellow Figs",35.31,98,1372
"2010-02-23","MV","SA","Turnips",71.95,86,1290
