date;origin_country;destination_country;product;duration;units;amount
20100101;166;47;63;7.41;81;972
20100101;223;97;109;89.79;16;224
20100101;79;137;117;49.82;15;105
20100101;219;228;70;69.13;1;9
20100101;39;124;61;53.97;56;280
20100102;150;127;2;31.07;25;175
20100102;34;145;36;63.7;82;492
20100103;199;232;22;3.09;53;424
20100103;157;6;114;48.96;20;180
20100103;62;57;35;33.25;98;686
20100103;17;17;12;68.14;99;1188
20100104;170;0;12;73.65;40;360
20100105;58;42;85;24.12;93;1116
20100105;91;41;19;34.94;78;780
20100105;221;214;106;65.07;66;462
20100106;93;124;45;91.63;9;135
20100106;215;83;50;31.74;6;30
20100106;249;158;89;66.34;54;486
20100107;30;142;68;67.8;44;396
20100107;12;13;15;64.8;64;384
20100107;227;184;37;90.0;64;768
20100107;88;207;0;29.73;50;350
20100107;221;4;69;18.25;92;552
20100108;196;201;51;94.48;53;742
20100108;37;233;2;68.44;77;1078
20100108;171;83;45;85.9;72;360
20100109;121;22;81;47.98;78;1014
20100109;118;110;62;13.23;36;288
20100109;38;185;59;65.7;29;232
20100110;7;67;52;54.08;13;169
20100110;212;161;8;10.29;6;48
20100111;134;171;102;41.46;22;154
20100112;111;13;69;57.47;64;832
20100113;61;36;60;29.52;23;276
20100113;164;164;84;2.21;65;650
20100114;103;86;69;23.68;85;1105
20100115;72;239;67;33.64;9;81
20100115;18;131;97;91.67;60;480
20100115;72;160;83;28.63;39;234
20100115;75;247;45;77.19;6;30
20100115;113;224;75;89.53;71;994
20100115;95;150;36;40.19;64;320
20100116;217;237;24;54.0;42;336
20100116;189;31;103;74.06;97;485
20100116;180;113;112;55.64;5;60
20100116;7;52;38;14.81;79;790
20100117;183;171;96;90.34;8;120
20100117;186;59;55;2.29;34;510
20100118;229;156;1;65.04;78;468
20100119;73;7;103;82.47;35;210
20100119;199;77;111;35.95;55;660
20100120;49;145;25;53.93;52;260
20100120;184;140;9;30.16;67;603
20100120;246;62;59;83.71;84;840
20100120;158;169;32;80.78;64;640
20100120;175;8;56;62.79;22;242
20100120;201;212;67;89.01;47;517
20100120;53;46;37;33.64;42;504
20100121;142;22;50;28.08;5;35
20100121;18;201;82;1.64;54;486
20100121;2;130;97;73.26;60;780
20100121;121;207;31;53.44;18;198
20100121;127;0;22;88.65;48;384
20100122;98;217;69;34.35;72;864
20100122;135;95;98;74.52;84;1008
20100122;108;62;25;16.35;85;1105
20100123;133;136;24;54.27;31;465
20100123;97;186;107;20.69;31;248
20100123;168;87;88;1.72;82;410
20100123;42;134;84;54.81;38;570
20100123;94;34;92;21.47;20;180
20100123;177;199;108;15.62;15;180
20100124;212;235;32;33.54;86;1118
20100124;146;207;83;95.54;37;296
